Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	3.05E+00	4.24E+00	3.03E+00	2.29E+00	2.26E+00	5.47E-01
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	2.21E+00	5.68E+00	6.45E+00	1.51E+00	2.93E+00	5.70E+00
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	2.22E+00	6.12E+00	5.00E+00	1.39E+00	4.74E+00	1.61E+00
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	5.97E+00	7.82E+00	5.46E+00	2.65E+00	4.04E+00	6.19E-01
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	3.72E+01	5.08E+01	0.00E+00	1.51E+01	4.32E+01	1.48E+01
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0.00E+00	2.07E+01	0.00E+00	0.00E+00	2.07E+01	0.00E+00
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	2.71E+00	6.43E+00	6.74E+00	2.76E+00	3.00E+00	0.00E+00
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	3.49E+00	4.08E+00	3.71E+00	1.92E+00	3.24E+00	1.95E+00
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	5.35E+00	9.72E+00	1.57E+01	1.30E+01	9.29E+00	3.20E+00
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	2.66E+00	4.85E+00	7.51E+00	3.31E+00	3.26E+00	1.81E+00
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	3.19E+00	6.61E+00	9.16E+00	1.20E+01	4.09E+00	4.88E+00
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	3.47E+00	6.77E+00	5.33E+00	1.79E+00	2.31E+00	1.10E+00
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	9.04E-01	2.90E+00	4.77E+00	1.58E+00	6.00E-01	4.93E+00
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	2.19E+00	4.10E+00	4.15E+00	1.61E+00	3.86E+00	8.30E-01
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	6.05E+00	6.55E+00	5.32E+00	1.84E+00	4.65E+00	0.00E+00
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	2.94E+00	7.19E+00	5.83E+00	2.81E+00	2.96E+00	2.32E+00
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	2.59E+00	2.56E+00	2.63E+00	2.15E+00	1.00E-01	4.53E-01
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	6.51E+00	7.38E+00	1.48E+01	1.41E+01	5.73E+00	3.00E-01
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	6.19E+00	7.38E+00	1.07E+01	1.51E+01	4.51E+00	5.86E+00
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	6.85E+00	7.21E+00	9.14E+00	4.87E+00	4.78E+00	0.00E+00
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	2.85E+00	0.00E+00	6.24E+00	3.60E+00	3.36E+00	0.00E+00
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	3.18E+00	4.55E+00	5.83E+00	2.51E+00	2.85E+00	7.37E-01
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	4.64E+00	9.10E+00	6.81E+00	2.48E+00	4.42E+00	2.28E+00
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	2.35E+00	5.22E+00	5.70E+00	2.21E+00	3.18E+00	2.51E+00
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	5.03E+00	5.43E+00	5.47E+00	2.61E+00	3.09E+00	8.72E-01
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	4.21E+00	4.49E+00	5.63E+00	2.38E+00	2.35E+00	4.21E+00
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	3.10E+00	7.58E+00	5.21E+00	2.51E+00	3.40E+00	1.21E+00
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	3.91E+00	5.33E+00	6.82E+00	3.00E+00	1.75E+00	1.50E+00
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	4.56E+00	6.50E+00	4.86E+00	1.64E+00	4.12E+00	6.59E+00
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	4.22E+00	5.23E+00	6.97E+00	1.51E+00	2.11E+00	1.97E+00
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	1.61E+00	3.17E+00	1.70E+00	1.31E+00	1.03E+00	0.00E+00
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	5.02E+00	5.61E+00	5.70E+00	2.41E+00	3.40E+00	2.58E-01
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	4.93E+00	6.81E+00	5.40E+00	2.20E+00	1.95E+00	7.81E-01
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	2.59E+00	6.00E+00	5.11E+00	2.42E+00	4.44E+00	4.30E+00
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	1.92E+00	7.96E+00	5.91E+00	3.69E+00	3.28E+00	0.00E+00
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	3.89E+00	5.30E+00	6.25E+00	2.61E+00	3.07E+00	0.00E+00
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	2.10E+00	3.66E+00	4.20E+00	2.04E+00	2.99E+00	4.90E+00
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	2.39E+00	2.57E+00	2.87E+00	2.01E+00	2.39E+00	0.00E+00
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	2.27E+00	3.24E+00	2.73E+00	2.22E+00	1.78E+00	0.00E+00
