Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V26	2.74E+00	4.94E+00	0.00E+00	1.26E+00	5.49E+00	1.43E+00	1.54E+00	4.31E+00	1.00E+00	3.06E+00	1.33E+00	1.11E+00	1.63E-01	0.00E+00	5.54E-01	4.16E+00	5.12E+00	1.13E+00	1.19E+00	1.24E+00
V27	8.49E-01	1.33E+00	1.48E+00	4.00E-01	6.00E+00	5.70E+00	9.70E+00	7.65E+00	0.00E+00	3.01E+00	4.32E+00	1.42E+00	5.39E-01	1.00E+00	0.00E+00	7.28E+00	2.04E+00	3.59E-01	0.00E+00	1.87E+00
V28	1.05E+00	2.67E-01	2.92E+00	3.00E-01	0.00E+00	1.36E+00	2.71E+00	2.21E-01	9.48E-01	0.00E+00	7.27E-01	8.30E-01	4.00E-01	3.00E-01	0.00E+00	2.46E+00	0.00E+00	0.00E+00	7.67E-01	2.27E+00
V29	5.04E-01	4.31E+00	1.67E+00	2.19E+00	6.70E-01	6.44E+00	9.35E+00	5.12E-01	6.33E-01	0.00E+00	3.86E+00	1.81E+00	2.31E+00	3.28E+00	1.27E+00	8.33E+00	4.91E+00	0.00E+00	2.13E+00	2.27E+00
V30	2.69E+00	1.99E+00	4.46E+00	7.72E-01	0.00E+00	1.67E+00	2.00E+00	0.00E+00	1.11E+00	0.00E+00	1.64E+00	7.72E-01	1.12E+00	3.00E-01	8.41E-01	2.26E+00	8.54E-01	7.77E-01	3.00E-01	4.85E+00
V31	2.49E+00	2.90E+00	1.33E+00	1.19E+00	1.76E+00	3.52E+00	6.75E+00	1.09E+00	1.11E+00	1.30E+00	5.69E+00	2.44E+00	1.59E+00	2.32E+00	4.73E-01	8.18E+00	3.26E+00	3.80E+00	1.62E+00	1.51E+00
V32	1.37E+00	2.28E+00	4.00E+00	1.64E+00	1.99E+00	6.58E+00	7.15E+00	2.85E+00	1.86E+00	3.02E+00	3.30E+00	3.73E+00	9.75E-01	1.09E+00	1.42E+00	9.17E+00	2.51E+00	4.67E-01	1.11E+00	3.78E+00
V33	1.33E+00	3.63E+00	5.59E-01	5.54E-01	7.45E-01	2.27E+00	4.73E+00	8.06E-01	7.72E-01	0.00E+00	6.12E+00	2.46E+00	1.01E+00	5.58E+00	0.00E+00	8.42E+00	1.62E+00	0.00E+00	3.07E-01	1.07E+00
V34	1.60E+00	6.46E-01	8.07E+00	1.64E+00	2.95E+00	1.00E+00	1.48E+00	3.05E+00	5.26E-01	7.00E-01	3.52E+00	1.82E+00	2.55E+00	1.24E+00	9.34E-01	4.96E+00	8.17E-01	6.51E-01	7.49E-01	9.91E+00
V35	2.65E+00	1.50E+00	1.00E+00	2.10E+01	1.24E+00	5.52E+00	7.19E+00	3.06E-01	3.50E+01	4.22E-01	4.99E+00	2.03E+01	8.82E+00	8.71E+00	3.95E+01	1.10E+01	1.56E+00	3.97E+00	1.32E+01	4.34E+00
