Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	135	169	131	25	29	16
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	93	216	152	7	34	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	41	66	93	13	5	61
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	39	43	137	1	26	8
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	34	125	42	0	12	3
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	23	131	183	1856	27	22
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	93	311	206	12	14	5
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	43258	2294	0	0	1609	976
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	53	92	67	10	21	12
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	43	282	133	26	34	50
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	88	120	120	23	29	39
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	27	27	49	0	11	7
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	145	335	139	18	44	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	174	276	140	9	21	3
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	86	92	224	38	26	14
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	100	317	208	435	17	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	399	599	244	20	44	14
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	18	1	186	45	19	0
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	8	123	81	31	15	40
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	83	186	133	29	15	71
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	55	109	169	8	14	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	52	135	139	6	35	39
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	64	146	151	7	17	178
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	57	95	131	25	17	47
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	64	118	181	32	36	53
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	117	153	190	36	43	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	105	472	129	23	63	15
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	48	79	82	17	11	30
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	119	883	205	28	59	38
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	75	197	153	26	18	26
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	94	468	116	23	95	20
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	44	176	133	5	24	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	160	226	162	0	24	0
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	199	80	217	13	20	83
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	172	438	160	15	46	24
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	50	147	112	14	19	61
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	31	197	137	1012	10	47
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	128	308	192	27	34	21
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	137	211	260	62	36	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	46	58	56	91	9	51
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	165	143	88	14	35	41
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	60	179	115	16	41	25
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	170	115	153	4	51	0
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	245	183	179	35	17	10
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	294	211	133	8	26	74
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	94	176	132	6	24	70
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	93	193	154	8	19	0
