Samples	ID83A	ID83B	ID83C
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	226	79	67
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	309	90	85
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	320	143	76
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	668	126	13
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	162	64	41
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	1171	157	4
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	344	96	55
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	693	115	8
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	304	58	20
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	370	186	16
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	257	275	80
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	640	199	16
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	292	71	40
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	160	39	1235
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	504	155	51
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	414	169	123
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	112	60	139
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	264	194	28
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	329	76	31
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	262	203	28
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	312	285	72
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	365	350	31
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	347	124	31
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	325	113	29
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	243	52	80
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	244	195	63
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	218	67	80
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	619	214	206
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	377	272	54
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	312	178	87
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	225	72	32
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	185	53	32
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	108	190	957
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	432	140	27
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	242	72	40
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	332	82	39
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	463	95	34
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	232	204	30
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	171	32	57
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	63	2	7
fdbd0277.ddbf.4cc5.8ec3.3644b9553627..Panc.AdenoCA..DO35406	241	113	43
fe96d91c.3686.4125.af71.b8703a011ad4..Panc.AdenoCA..DO49463	1127	127	0
ffe4bb51.e98a.41a7.a4e1.c3970386889c..Panc.AdenoCA..DO51503	155	75	53
