Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
2.CompNMF,0.9381704697986576,0.8452380952380952,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.9408543624161074,0.8292124542124542,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.943538255033557,0.8292124542124542,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.9462221476510068,0.8215201465201465,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.9489060402684564,0.8131868131868132,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.951589932885906,0.8131868131868132,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
2.CompNMF,0.9542738255033556,0.7888278388278388,0.6131868131868131,0.8333333333333334,0.926923076923077,50,100,2,0.15
2.CompNMF,0.9569577181208052,0.7811355311355311,0.565934065934066,0.8333333333333334,0.926923076923077,50,100,2,0.15
2.CompNMF,0.959641610738255,0.7734432234432235,0.565934065934066,0.8012820512820513,0.926923076923077,50,100,2,0.15
2.CompNMF,0.9623255033557048,0.7734432234432235,0.565934065934066,0.8012820512820513,0.926923076923077,50,100,2,0.15
2.CompNMF,0.9650093959731544,0.7336996336996336,0.565934065934066,0.7692307692307692,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.967693288590604,0.7183150183150183,0.565934065934066,0.7692307692307692,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9703771812080536,0.7106227106227107,0.4615384615384615,0.7692307692307692,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9730610738255032,0.6945970695970696,0.4615384615384615,0.7179487179487178,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9757449664429528,0.6708791208791208,0.4615384615384615,0.6666666666666666,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9784288590604028,0.6477106227106226,0.45989010989010987,0.641025641025641,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9811127516778524,0.6233516483516484,0.4225274725274725,0.6153846153846153,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.983796644295302,0.5847985347985348,0.30659340659340656,0.6153846153846153,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9864805369127516,0.5379120879120879,0.29945054945054944,0.5,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9891644295302012,0.46675824175824177,0.15329670329670328,0.4615384615384615,0.8333333333333334,50,100,2,0.15
2.CompNMF,0.9918483221476512,0.3866300366300366,0.15329670329670328,0.3205128205128205,0.6666666666666666,50,100,2,0.15
2.CompNMF,0.9945322147651008,0.2738095238095238,0.13571428571428576,0.30769230769230765,0.5,50,100,2,0.15
2.CompNMF,0.9972161073825504,0.10705128205128205,0,0,0.3333333333333333,50,100,2,0.15
2.CompNMF,0.9999,0,0,0,0,50,100,2,0.15
1.CompNMFcos,0.6,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6026838926174496,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6053677852348993,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6080516778523489,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6107355704697986,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6134194630872483,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.616103355704698,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6187872483221476,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6214711409395973,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6241550335570469,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6268389261744967,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6295228187919463,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.632206711409396,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6348906040268456,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6375744966442953,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6402583892617449,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6429422818791946,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6456261744966443,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6483100671140939,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6509939597315436,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6536778523489932,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.656361744966443,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6590456375838926,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6617295302013423,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6644134228187919,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6670973154362416,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6697812080536912,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.672465100671141,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6751489932885906,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6778328859060403,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6805167785234899,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
1.CompNMFcos,0.6832006711409395,0.9846153846153846,0.923076923076923,1,1,50,100,2,0.15
